name,credit,class,for,totalstudent,day,shift,at,lectures
Nguyễn lí hệ điều hành,3,MAT3550E 3,KHMT&TT,25,2,6-10,PM,"Hoàng Quốc Hùng
BMTH"
Nguyễn lí hệ điều hành,3,MAT3550E 4,KHMT&TT,25,2,6-10,PM,"Hoàng Quốc Hùng
BMTH"
Xác suất - Thống kê,4,MAT2323 2,KHMT&TT,60,3,1-3,105-T5,Trần Mạnh Cường
Xác suất - Thống kê,4,MAT2323 2,KHMT&TT,60,5,1-2,207-T5,Tạ Văn Chiến
Cơ sở văn hóa Việt Nam,3,Môn chung,KHMT&TT,,,,#N/A,
Khoa học trái đất và sự sống,3,Môn chung,KHMT&TT,,,,#N/A,
Nhập môn Robotics,3,Môn chung,KHMT&TT,,,,#N/A,
Lịch sử Đảng Cộng sản Việt Nam,,Môn chung,Toán - Tin,,,,#N/A,
Điện - Quang,,Môn chung,Toán - Tin,,,,Môn chung toàn trường,
Phương trình đạo hàm riêng,3,MAT3365,Toán - Tin,,2,4-5,204-T5,Đặng Anh Tuấn
Phương trình đạo hàm riêng,3,MAT3365,Toán - Tin,,4,1-2,205-T5,Nguyễn Tiến Tài
Phương trình vi phân,4,MAT2314 1,Toán - Tin,,3,8-10,104-T5,Lê Huy Tiễn
Phương trình vi phân,4,MAT2314 1,Toán - Tin,,2,9-10,104-T4,Trịnh Hoàng Dũng
Lập trình hướng đối tượng,3,"MAT1202 1,2,3",Toán - Tin,,3,6-7,108-T5,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 1,Toán - Tin,20,6,6-10,PM,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 2,Toán - Tin,20,6,6-10,PM,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 3,Toán - Tin,20,6,6-10,PM,Quản Thái Hà
Cơ sở dữ liệu,4,"MAT3507 1,2,3",Toán - Tin,,2,6-8,204-T4,Vũ Tiến Dũng
Cơ sở dữ liệu,4,MAT3507 1,Toán - Tin,25,5,1-5,PM,Trần Thị Hương
